Customer ID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2
AA-10315,185,5,5563.56,1,0.10765352512777086,0.8177698069291093
AA-10375,20,9,1056.39,0,0.6694324171394415,-0.9537450232440033
AA-10480,260,4,1790.5120000000002,1,-1.1414060417862986,0.14120731376609502
AA-10645,56,6,5086.9349999999995,0,0.626025168638769,0.19228697883107576
AB-10015,416,3,886.156,3,-2.020706962475364,0.520728023316823
AB-10060,55,8,7755.62,2,1.7007112513563223,0.8900215552517974
AB-10105,42,10,14473.570999999998,2,3.6475157590160863,2.5760653940915423
AB-10150,42,5,966.71,1,-0.448254754029291,-0.9270271518284777
AB-10165,26,8,1113.838,0,0.40517029920314973,-0.9246425020237938
AB-10255,167,9,914.5319999999999,0,0.23257130417195176,-0.40546868444291756
AB-10600,51,4,1515.862,1,-0.6189701226503059,-0.7601891326334731
AC-10420,233,3,925.8,1,-1.505231313197719,-0.196860775686093
AC-10450,12,7,5527.846,0,1.0988617675910097,0.13957890587709956
AC-10615,7,5,2537.6859999999997,1,-0.025790246839738823,-0.6642670732355713
AC-10660,283,5,657.316,1,-1.1803842856843711,-0.04780824748842903
AD-10180,30,8,6106.88,0,1.4284526817264727,0.3687644412096991
AF-10870,42,7,2052.908,0,0.29582774357513275,-0.630204843985148
AF-10885,416,4,861.565,3,-1.766269683354849,0.5238922300452978
AG-10270,279,5,2582.898,1,-0.770388563722748,0.42895693627967674
AG-10300,119,4,367.548,1,-1.0453486340530238,-0.7835782088421392
AG-10330,9,5,660.972,1,-0.4201185043105453,-1.136482436032696
AG-10390,115,5,200.945,1,-0.8092431745693952,-0.8326553474987173
AG-10495,79,8,2356.855,0,0.5157643597513208,-0.395845124595293
AG-10525,846,4,1455.038,3,-2.835253682499087,2.3857071825757816
AG-10675,98,7,3489.0396000000005,0,0.4381120846882482,-0.04006788680173665
AG-10765,78,4,170.584,1,-0.9725030840053965,-0.9970164209818343
AG-10900,97,10,4510.797,0,1.4311484548232623,0.24574618731651013
AH-10030,13,7,1744.7,0,0.31236458858728366,-0.8243853832805709
AH-10075,35,10,3250.337,0,1.3418882182381369,-0.323304184295055
AH-10120,61,7,1735.5140000000001,0,0.17740902992186391,-0.6358551637854596
AH-10195,56,4,1587.452,1,-0.6179990154024306,-0.7219890078812101
AH-10210,7,9,4805.344,0,1.4821094439949218,-0.04624909412253868
AH-10465,231,5,2495.3916,1,-0.6554640256461188,0.21568737679833552
AH-10585,22,4,738.504,1,-0.6996234736538821,-1.0744045594127076
AH-10690,411,12,7888.294,2,1.7795162036828092,2.377488005383476
AI-10855,14,10,4375.786,0,1.6332493262396062,-0.11886142149632427
AJ-10780,76,7,4867.344,0,0.7846272289747437,0.22509279415144906
AJ-10795,167,7,4501.391,0,0.45657007230911295,0.4933391285715576
AJ-10945,86,7,1839.24,0,0.12959893599625727,-0.5098993001982565
AJ-10960,75,3,629.2479999999999,1,-1.1287010139719318,-0.9010504366089006
AM-10360,29,5,814.012,1,-0.44385295399924546,-1.017792671755269
AM-10705,163,8,5664.022,0,0.9680427128878472,0.7843546119541079
AO-10810,502,1,161.28,3,-2.9283230081452634,0.6583464053497056
AP-10720,42,8,1638.554,0,0.4695208206927113,-0.7267638768396486
AP-10915,99,10,3323.556,0,1.1796530141862003,-0.05006330533646853
AR-10345,112,4,1055.694,1,-0.883387222432362,-0.6353486013032843
AR-10405,126,5,2236.128,1,-0.41812118345879146,-0.2681979192442265
AR-10510,15,5,264.86400000000003,1,-0.518808721862091,-1.2139690183461738
AR-10540,7,6,6608.448,2,1.0770498050050548,0.38671816421120514
AR-10570,535,1,88.15,3,-3.034946426539457,0.7708660021379236
AR-10825,59,8,4523.336,0,1.0200161293858696,0.07892869900181616
AS-10045,89,7,3050.692,0,0.3722503409694839,-0.18801188876998473
AS-10090,29,9,3255.31,0,1.1000183997069293,-0.35534784011598886
AS-10135,42,2,58.82,1,-1.414930162511771,-1.187684234876571
AS-10225,23,5,4260.784,1,0.2868198536367539,-0.15977510789875557
AS-10240,193,7,584.6080000000001,1,-0.42690986713813717,-0.40540006753673347
AS-10285,20,6,3214.236,1,0.3378619490224527,-0.43001486166869
AS-10630,93,7,833.398,1,-0.09817711169690255,-0.7394133660426792
AT-10435,22,6,1171.814,1,-0.09079475990604129,-0.9446276264378228
AT-10735,14,10,3831.864,0,1.520569190254812,-0.2580271809974857
AW-10840,21,4,649.376,1,-0.715315507240165,-1.1011851789121616
AW-10930,47,7,2852.968,0,0.4477103761167875,-0.40562122890925195
AY-10555,15,4,497.014,1,-0.730247599842612,-1.1640279896248935
AZ-10750,161,6,1622.0179999999998,1,-0.3828275158419983,-0.2766820346017852
BB-10990,106,5,744.3399999999999,1,-0.6717248570476408,-0.7294145204590471
BB-11545,29,9,6765.728,2,1.827244688776813,0.5428140050319333
BC-11125,203,9,2933.676,0,0.5510724077390795,0.25430200204974374
BD-11320,34,12,5718.521,0,2.375038051373788,0.32313098900216264
BD-11500,36,6,4411.2429999999995,0,0.5414858245983597,-0.06012648578353399
BD-11560,279,2,320.54,1,-2.017658686938319,-0.17824904153645177
BD-11605,98,7,3288.471,0,0.39656183093443814,-0.09138458579733662
BD-11620,70,6,1538.11,1,-0.14796460146525373,-0.6600280482680946
BD-11635,10,3,582.646,1,-0.9581798423598636,-1.1714578712242172
BD-11725,94,6,1526.5,1,-0.21689603870149624,-0.5675582807468501
BD-11770,328,6,658.466,1,-1.045351221998547,0.1408924325039136
BE-11335,120,5,4204.676,1,0.006319331061676056,0.21160702281569702
BE-11410,99,5,2261.438,1,-0.33803583726833264,-0.3690924903485608
BE-11455,255,6,1727.652,1,-0.6215054073088363,0.12415274070793919
BF-10975,92,7,599.798,1,-0.14379829800360355,-0.8031580274574293
BF-11005,40,4,1333.88,1,-0.6261787205038682,-0.8504937877452856
BF-11020,75,8,2888.506,0,0.6369901208850677,-0.27572568471549
BF-11080,26,3,272.95,1,-1.066688035221522,-1.187068642896392
BF-11170,17,11,5907.972,0,2.2018763337674967,0.2945437030450481
BF-11215,66,4,1585.162,1,-0.6461927016088171,-0.682808144675885
BF-11275,58,3,791.9899999999999,1,-1.0478642222225194,-0.9270154190490734
BG-11035,29,8,2798.948,0,0.7459457878690486,-0.48156680383050593
